PassengerId,Name,Sex,Age,Pclass,Parch,Ticket,Fare,Cabin,Embarked,Survived,BookingDate
185,"Clark, Master. Albert",male,25.5,3,0,306172,7.83,Unknown,Unknown,0,1912-02-04
27,"Brown, Master. Joseph",male,28.3,3,0,120836,16.08,Unknown,S,0,1912-04-09
44,"Wright, Miss. Rose",female,32.6,1,0,310973,220.25,Unknown,S,1,1912-04-14
243,"Lewis, Mrs. Alice",female,25.5,3,0,221710,14.48,Unknown,S,0,1912-04-23
216,"Moore, Master. John",male,14.4,3,0,136185,18.04,Unknown,S,1,1912-04-29
93,"Turner, Master. Harry",male,4.7,1,1,175578,108.6,A93,S,1,1912-03-27
28,"Campbell, Master. Harry",male,25.5,2,0,239258,17.83,Unknown,S,0,1912-03-26
206,"Miller, Miss. Elizabeth",female,38.1,1,0,276743,153.32,Unknown,C,1,1912-04-20
32,"Hall, Mr. Walter",male,32.5,3,0,190824,18.03,Unknown,S,0,1912-05-04
270,"Taylor, Mr. William",male,29.3,3,0,105024,13.67,Unknown,C,0,1912-01-04
174,"Young, Mrs. Agnes",female,23.3,3,0,350958,10.91,Unknown,S,0,1912-04-03
165,"Walker, Mrs. Clara",female,25.5,1,0,333788,75.72,Unknown,S,1,1912-08-04
267,"Hall, Miss. Clara",female,25.5,3,0,190454,13.38,Unknown,S,0,1912-04-22
103,"Carter, Master. John",male,21.0,3,0,147255,9.8,Unknown,C,0,1912-04-28
228,"Clark, Mr. Harry",male,38.3,1,2,161507,83.5,B25,S,1,1912-04-17
60,"Young, Mr. Charles",male,25.5,3,0,395682,7.65,Unknown,S,1,1912-04-30
66,"Baker, Mr. Arthur",male,29.0,2,0,115047,11.26,Unknown,S,0,1912-04-01
176,"Baker, Mr. Samuel",male,25.5,3,0,129052,7.39,Unknown,Q,0,1912-04-23
148,"Harris, Mrs. Edith",female,25.5,1,0,225393,68.17,Unknown,C,1,1912-03-20
231,"Hall, Mr. Walter",male,18.5,2,0,390094,13.18,Unknown,Unknown,1,1912-04-29
207,"Young, Mrs. Emily",female,4.0,3,1,370155,16.04,Unknown,C,0,1912-03-21
26,"Lewis, Miss. Bertha",female,45.3,1,0,135924,72.08,G24,S,1,1912-08-04
268,"Wright, Mrs. Bertha",female,29.9,3,0,195968,7.18,Unknown,S,0,1912-03-24
248,"Walker, Miss. Margaret",female,42.1,1,0,303318,44.37,Unknown,S,1,1912-04-19
139,"Harris, Miss. Margaret",female,32.9,1,2,399712,99.57,Unknown,C,1,1912-11-04
282,"Brown, Mr. Arthur",male,8.5,1,0,169160,48.3,D26,S,0,1912-04-26
38,"Green, Mr. James",male,21.2,3,1,230111,7.33,Unknown,S,0,1912-03-18
158,"Wright, Mrs. Ada",female,38.9,2,0,375806,10.84,Unknown,S,0,1912-04-04
57,"Young, Mrs. Nora",female,27.1,3,2,114209,9.19,Unknown,S,0,1912-06-03
65,"Harris, Master. Thomas",male,35.6,3,0,228710,13.47,Unknown,S,0,1912-04-23
298,"Turner, Miss. Anna",female,25.5,3,0,153951,7.23,Unknown,S,0,1912-04-27
181,"Harris, Miss. Ellen",female,22.7,3,0,353887,8.0,Unknown,S,0,1912-03-30
208,"Jones, Mr. Michael",male,30.5,2,2,301103,14.26,Unknown,S,0,1912-03-16
168,"Jackson, Master. Edward",male,25.5,3,0,335889,7.45,Unknown,S,0,1912-04-30
114,"Anderson, Mr. Andrew",male,34.2,3,0,231414,12.94,Unknown,Unknown,1,1912-04-21
104,"Davis, Mrs. Ada",female,9.0,2,0,378319,20.58,Unknown,Q,1,1912-02-04
163,"Anderson, Miss. Anna",female,5.6,3,0,330548,7.28,Unknown,C,1,1912-04-27
259,"Smith, Mrs. Ada",female,23.6,3,0,392549,11.91,Unknown,C,0,1912-07-04
200,"Mitchell, Mrs. Emily",female,30.8,3,2,171970,8.33,Unknown,S,0,1912-07-03
213,"Williams, Master. Albert",male,36.1,3,0,365020,8.41,Unknown,C,0,1912-03-13
131,"Miller, Miss. Kate",female,31.9,1,0,137788,45.17,F46,S,0,1912-03-26
37,"Young, Master. Edward",male,24.1,3,2,185197,10.01,Unknown,S,0,1912-04-21
11,"Carter, Mr. William",male,16.8,3,0,345392,13.99,Unknown,S,0,1912-04-03
182,"Turner, Master. William",male,11.6,2,0,309042,17.43,Unknown,C,1,1912-09-03
199,"Johnson, Miss. Alice",female,7.2,3,0,331932,7.2,Unknown,S,0,1912-11-04
277,"Anderson, Mr. Walter",male,4.0,1,0,268871,56.65,Unknown,C,0,1912-04-23
223,"Thomas, Mrs. Rose",female,25.5,3,3,316824,10.26,Unknown,S,0,1912-03-20
105,"Carter, Miss. Sarah",female,41.3,3,1,345540,11.05,Unknown,C,1,1912-05-03
289,"Walker, Mr. Robert",male,25.5,2,0,114063,17.75,Unknown,S,0,1912-04-24
36,"Moore, Master. John",male,20.1,2,1,287595,27.71,Unknown,C,1,1912-03-14
122,"Walker, Mr. Edward",male,24.3,3,2,164084,9.7,Unknown,S,0,1912-03-27
20,"Walker, Mr. Fred",male,19.4,2,2,347815,25.41,Unknown,S,0,1912-03-16
224,"King, Mrs. Bertha",female,24.1,1,0,299834,68.09,F86,S,1,1912-04-20
211,"Young, Master. Henry",male,23.2,3,2,338539,11.44,Unknown,S,0,1912-04-17
137,"Turner, Miss. Bertha",female,23.8,3,0,345849,6.57,Unknown,S,0,1912-03-29
120,"Taylor, Master. Joseph",male,25.5,2,0,263865,11.37,Unknown,C,1,1912-03-28
62,"Jackson, Master. Henry",male,15.4,3,0,227323,11.67,Unknown,S,0,1912-07-03
71,"Green, Master. Fred",male,25.5,1,1,255318,160.49,Unknown,S,0,1912-03-15
6,"Miller, Master. Arthur",male,18.4,2,0,137435,16.05,Unknown,S,0,1912-08-04
153,"Wilson, Master. Frank",male,8.2,2,0,267082,37.91,Unknown,S,1,1912-04-29
265,"Smith, Master. Walter",male,35.2,2,0,132801,10.53,Unknown,C,0,1912-06-04
132,"Turner, Mr. Arthur",male,17.9,2,0,318991,22.81,Unknown,S,0,1912-03-19
110,"Carter, Mrs. Edith",female,37.2,3,0,211071,10.1,Unknown,S,0,1912-01-04
241,"Miller, Mr. Thomas",male,53.3,3,0,175597,6.62,Unknown,Q,1,1912-04-18
227,"Walker, Mr. Edward",male,26.8,3,0,120734,7.31,Unknown,S,1,1912-04-25
88,"Mitchell, Miss. Sarah",female,4.6,3,0,175834,17.74,Unknown,S,0,1912-03-25
77,"Scott, Master. Walter",male,18.4,1,0,137318,82.09,F59,S,0,1912-04-13
292,"Moore, Miss. Bertha",female,14.9,3,0,138268,8.71,Unknown,S,0,1912-03-02
173,"Carter, Mrs. Elizabeth",female,3.6,3,1,390466,10.49,Unknown,S,1,1912-06-04
175,"Jones, Mrs. Bertha",female,8.3,3,0,371245,7.01,Unknown,S,0,1912-03-23
127,"Moore, Mrs. Rose",female,23.9,2,0,144541,10.86,Unknown,Q,1,1912-04-26
61,"Miller, Master. Thomas",male,27.5,3,2,185860,6.53,Unknown,C,0,1912-03-20
197,"Walker, Miss. Helen",female,16.6,1,2,356378,56.02,F27,Q,1,1912-03-21
70,"Thomas, Miss. Nora",female,41.4,2,0,162681,12.48,Unknown,S,0,1912-04-17
22,"Wilson, Mr. George",male,40.2,1,0,342550,60.64,Unknown,S,1,1912-03-16
234,"Lewis, Mr. Samuel",male,28.0,3,1,125435,7.26,Unknown,Q,0,1912-04-18
79,"Young, Master. David",male,25.5,1,0,259431,92.15,Unknown,S,0,1912-04-14
212,"Baker, Miss. Agnes",female,9.5,2,0,229743,17.05,Unknown,S,1,1912-04-13
252,"Taylor, Miss. Rose",female,25.5,3,1,171368,9.8,Unknown,S,0,1912-03-20
50,"Carter, Mr. Joseph",male,18.0,3,0,230651,11.16,Unknown,S,0,1912-04-28
229,"Jackson, Mrs. Clara",female,25.5,3,0,299576,12.79,Unknown,C,0,1912-03-30
225,"Thomas, Mrs. Ada",female,24.2,3,0,218145,8.22,Unknown,S,1,1912-03-20
59,"Moore, Mr. Samuel",male,25.5,3,0,121106,13.18,Unknown,Q,0,1912-04-18
187,"Phillips, Mr. Walter",male,5.8,3,0,123720,10.54,Unknown,S,0,1912-03-26
76,"King, Mr. Michael",male,34.3,3,0,191128,24.38,Unknown,S,0,1912-05-04
263,"Wright, Mr. George",male,12.1,1,2,273533,85.38,E21,C,1,1912-05-04
133,"Carter, Mr. George",male,6.6,2,0,289715,27.42,Unknown,S,1,1912-06-03
21,"Brown, Mrs. Emily",female,36.4,3,0,128401,16.09,Unknown,S,0,1912-04-13
39,"Turner, Master. Michael",male,22.1,3,0,341331,11.25,Unknown,S,0,1912-03-23
184,"Wilson, Miss. Clara",female,26.6,3,2,263952,6.91,Unknown,C,0,1912-03-13
101,"Mitchell, Mrs. Catherine",female,29.3,3,0,125713,10.68,Unknown,S,0,1912-04-28
237,"Brown, Mrs. Ada",female,39.4,1,0,240155,91.73,C46,S,1,1912-04-20
293,"Campbell, Mr. Charles",male,17.3,1,1,317806,77.1,E99,S,1,1912-03-28
188,"Walker, Master. Charles",male,40.4,3,0,388283,6.74,Unknown,S,0,1912-03-18
149,"Wright, Miss. Emily",female,14.9,3,3,247729,30.32,Unknown,S,1,1912-04-19
7,"Harris, Mr. Joseph",male,11.8,3,3,392002,8.75,Unknown,S,0,1912-03-15
196,"Walker, Miss. Nora",female,41.8,3,1,238601,12.25,Unknown,C,1,1912-09-04
232,"Wilson, Miss. Emily",female,13.8,2,1,276980,10.6,Unknown,S,1,1912-03-17
253,"Taylor, Miss. Emily",female,0.5,3,0,357429,22.51,Unknown,S,0,1912-04-06
69,"Wright, Master. Joseph",male,24.2,2,0,323086,19.07,Unknown,S,0,1912-04-17
164,"Scott, Miss. Florence",female,39.3,2,2,143312,17.78,Unknown,S,0,1912-04-16
1,"Wilson, Mr. Thomas",male,25.5,1,0,116663,97.3,E55,C,0,1912-02-03
275,"Miller, Miss. Clara",female,15.5,3,1,131120,12.3,Unknown,C,0,1912-06-04
226,"White, Master. John",male,44.1,3,0,206607,9.65,Unknown,S,0,1912-03-22
152,"Williams, Miss. Alice",female,17.1,3,0,283283,22.22,Unknown,S,1,1912-04-29
56,"Clark, Mrs. Ada",female,39.7,3,0,276228,7.14,Unknown,S,1,1912-12-04
219,"Baker, Mr. Joseph",male,38.0,3,0,385446,7.48,Unknown,S,0,1912-03-28
84,"Turner, Miss. Elizabeth",female,37.6,2,3,384475,17.05,Unknown,S,1,1912-03-30
143,"Campbell, Mr. Harry",male,26.7,2,2,305498,11.04,Unknown,S,0,1912-03-09
198,"Brown, Miss. Sarah",female,21.7,2,0,306848,20.89,Unknown,Q,1,1912-04-22
64,"Turner, Mrs. Rose",female,36.9,1,0,180211,58.53,Unknown,S,1,1912-03-28
130,"Davis, Mrs. Anna",female,20.1,3,0,233965,12.76,Unknown,S,0,1912-03-19
274,"Turner, Miss. Helen",female,14.0,1,0,224227,113.43,D16,S,1,1912-03-14
281,"Walker, Miss. Catherine",female,27.7,2,0,280218,20.54,Unknown,S,1,1912-04-27
250,"White, Mrs. Margaret",female,25.5,3,0,289333,9.26,Unknown,C,0,1912-03-17
215,"Wright, Miss. Anna",female,0.5,3,0,101580,9.29,Unknown,S,1,1912-04-17
87,"Mitchell, Mr. Robert",male,32.2,3,0,180725,6.7,Unknown,S,0,1912-01-04
47,"Carter, Miss. Emily",female,31.0,2,1,144457,11.22,Unknown,S,0,1912-03-19
256,"Anderson, Mrs. Catherine",female,15.7,1,0,351257,71.3,Unknown,C,1,1912-07-04
239,"Johnson, Miss. Agnes",female,2.7,2,0,327493,16.6,Unknown,S,0,1912-11-04
273,"Walker, Master. Thomas",male,27.9,3,0,386446,10.06,Unknown,C,1,1912-03-14
297,"Taylor, Mrs. Elizabeth",female,54.7,3,0,140406,9.14,Unknown,S,1,1912-04-01
195,"Lewis, Mrs. Anna",female,23.9,3,0,375501,7.09,Unknown,S,0,1912-03-25
3,"Taylor, Master. David",male,43.0,3,0,153587,6.64,Unknown,C,1,1912-06-03
138,"Moore, Mrs. Bertha",female,12.0,3,0,129826,6.88,Unknown,S,0,1912-03-24
214,"Brown, Master. Albert",male,25.5,1,0,337729,101.98,D8,S,0,1912-09-03
291,"Lewis, Mr. Andrew",male,26.2,3,0,265922,8.33,Unknown,S,0,1912-09-03
117,"Harris, Master. John",male,23.7,3,0,310563,9.52,Unknown,Q,0,1912-03-28
121,"Wright, Mrs. Edith",female,39.7,3,0,148879,9.01,Unknown,C,1,1912-03-28
295,"Johnson, Mr. Walter",male,13.7,2,2,128850,10.57,Unknown,S,0,1912-03-20
194,"Smith, Mr. Michael",male,16.0,1,0,363097,79.82,Unknown,S,0,1912-04-19
242,"Hall, Mrs. Catherine",female,25.6,3,1,383410,23.98,Unknown,Unknown,0,1912-03-22
33,"Lewis, Master. Charles",male,35.0,3,2,148390,17.08,Unknown,C,0,1912-04-10
264,"King, Miss. Helen",female,14.7,3,0,115305,6.67,Unknown,S,0,1912-04-17
8,"Mitchell, Mrs. Anna",female,27.8,3,0,210615,10.46,Unknown,Unknown,1,1912-04-28
10,"Moore, Miss. Ada",female,6.9,3,3,147662,12.58,Unknown,S,0,1912-04-18
92,"Taylor, Mrs. Ada",female,21.2,1,0,179746,96.39,F84,Unknown,0,1912-04-01
40,"Smith, Mrs. Helen",female,28.8,3,0,136396,9.44,Unknown,S,1,1912-04-19
29,"Taylor, Master. Henry",male,25.0,3,2,395170,8.95,Unknown,S,0,1912-07-03
272,"Walker, Mr. Thomas",male,20.3,2,1,359686,12.64,Unknown,S,0,1912-04-05
205,"Campbell, Mr. Harry",male,22.1,1,0,364352,49.87,D18,Q,0,1912-03-30
170,"Anderson, Mr. Frank",male,2.9,3,0,249724,21.74,Unknown,S,0,1912-04-14
299,"Johnson, Mr. Albert",male,28.6,1,0,118540,90.97,B23,S,1,1912-05-04
230,"Harris, Miss. Edith",female,25.5,2,3,267894,33.24,Unknown,S,0,1912-04-28
220,"Moore, Miss. Helen",female,27.1,3,0,159163,7.96,Unknown,C,0,1912-03-03
285,"Turner, Mrs. Rose",female,25.5,1,0,154107,55.45,F14,Unknown,1,1912-03-21
73,"Harris, Master. Fred",male,29.7,3,2,350467,28.04,Unknown,S,0,1912-08-03
271,"White, Master. Frank",male,36.1,1,0,116179,42.55,A73,C,1,1912-04-20
151,"Scott, Mrs. Agnes",female,35.4,3,1,184049,14.0,Unknown,S,0,1912-03-18
189,"Moore, Master. Michael",male,35.9,1,0,366926,72.1,B78,Q,0,1912-03-26
286,"Baker, Miss. Alice",female,25.5,3,1,174896,13.35,Unknown,S,1,1912-05-03
172,"Turner, Master. Henry",male,24.9,3,0,191273,19.39,Unknown,C,1,1912-04-20
276,"Taylor, Mrs. Clara",female,25.5,3,0,369701,12.86,Unknown,S,0,1912-04-27
162,"Taylor, Mr. Charles",male,25.5,1,0,200193,52.9,C5,Q,0,1912-03-19
150,"Mitchell, Mrs. Ada",female,25.8,3,0,127357,14.29,Unknown,C,0,1912-11-04
246,"Jones, Master. Robert",male,17.9,3,1,304274,10.4,Unknown,S,0,1912-03-21
116,"Green, Mr. Albert",male,31.6,3,0,157175,15.53,Unknown,S,0,1912-03-29
118,"Phillips, Mr. Arthur",male,25.4,3,0,244187,9.21,Unknown,S,1,1912-04-09
49,"Scott, Mrs. Bertha",female,25.2,3,0,102907,13.86,Unknown,S,0,1912-04-27
108,"King, Mrs. Helen",female,16.8,3,2,314064,24.81,Unknown,S,0,1912-08-03
288,"Jones, Mrs. Margaret",female,35.8,3,0,325123,7.75,Unknown,S,1,1912-03-21
260,"Baker, Master. Frank",male,17.5,2,0,112877,25.56,Unknown,Unknown,0,1912-03-31
255,"Harris, Mr. Arthur",male,20.8,3,1,314508,7.08,Unknown,Unknown,1,1912-04-13
156,"Brown, Master. Joseph",male,18.4,3,0,339659,12.36,Unknown,C,0,1912-05-03
100,"Davis, Miss. Nora",female,36.4,3,1,299944,9.36,Unknown,Unknown,1,1912-06-04
96,"Miller, Master. Michael",male,25.5,3,2,129422,7.61,Unknown,S,0,1912-03-19
191,"Lewis, Miss. Catherine",female,4.7,3,0,257176,8.54,Unknown,C,0,1912-03-31
68,"Walker, Master. Walter",male,19.2,1,0,148786,72.08,G3,S,0,1912-03-19
97,"Lewis, Mrs. Alice",female,45.2,2,0,191786,21.31,Unknown,S,1,1912-06-03
23,"Johnson, Mr. Samuel",male,28.0,2,0,148896,14.37,Unknown,S,0,1912-04-29
167,"Jones, Mrs. Florence",female,31.7,2,0,166180,22.73,Unknown,S,1,1912-05-03
125,"Miller, Mr. Thomas",male,11.9,3,1,284037,13.76,Unknown,Q,0,1912-01-03
193,"Green, Mrs. Bertha",female,16.2,2,0,299329,11.56,Unknown,S,0,1912-10-03
102,"Young, Mrs. Catherine",female,33.3,3,0,231400,10.9,Unknown,S,0,1912-04-13
160,"Jones, Master. Michael",male,24.6,2,0,191797,29.67,Unknown,C,0,1912-04-23
245,"Miller, Master. Frank",male,43.1,2,0,254863,38.17,Unknown,S,1,1912-04-21
145,"Thomas, Miss. Mary",female,41.4,3,0,354946,10.44,Unknown,Q,1,1912-03-13
278,"Jones, Master. Frank",male,44.4,3,0,336973,15.87,Unknown,S,0,1912-05-03
210,"Wright, Master. David",male,24.6,3,1,263042,8.71,Unknown,C,0,1912-04-14
31,"Young, Master. Samuel",male,41.7,2,1,390771,12.91,Unknown,Unknown,0,1912-03-20
13,"Green, Mrs. Nora",female,25.5,2,0,193665,14.08,Unknown,S,1,1912-02-04
91,"Harris, Miss. Agnes",female,25.5,2,1,225202,18.22,Unknown,Q,0,1912-06-04
42,"Brown, Mrs. Sarah",female,28.7,1,0,301953,81.5,E15,C,1,1912-04-27
209,"Hall, Miss. Rose",female,25.5,3,0,223890,7.29,Unknown,S,1,1912-04-03
82,"King, Miss. Bertha",female,35.2,1,2,154840,72.08,C86,S,1,1912-04-24
161,"Carter, Mrs. Kate",female,11.2,3,0,119390,26.52,Unknown,Q,0,1912-03-19
136,"Young, Mr. Charles",male,26.4,1,0,343245,65.19,F64,S,0,1912-04-18
177,"Miller, Mr. Henry",male,25.5,3,0,372051,7.8,Unknown,S,0,1912-04-27
111,"Brown, Miss. Helen",female,25.5,2,0,288048,11.01,Unknown,Q,1,1912-04-03
154,"Jones, Mr. George",male,46.0,3,2,172767,6.8,Unknown,S,0,1912-04-18
54,"Williams, Mr. William",male,20.1,2,0,132645,13.31,Unknown,S,1,1912-03-14
179,"Miller, Mr. Harry",male,12.2,3,0,395498,7.89,Unknown,S,0,1912-03-03
258,"King, Mr. Edward",male,23.7,3,0,309514,7.99,Unknown,S,0,1912-04-18
52,"Anderson, Miss. Kate",female,25.5,3,1,373311,24.44,Unknown,S,0,1912-04-01
15,"Brown, Mr. Fred",male,32.9,3,1,261225,7.1,Unknown,C,0,1912-03-16
262,"Brown, Master. Edward",male,37.1,3,0,257424,7.6,Unknown,S,0,1912-03-03
83,"Wright, Master. Fred",male,30.9,2,1,338459,22.66,Unknown,S,1,1912-06-03
85,"Young, Miss. Julia",female,19.7,1,0,387949,72.08,Unknown,Unknown,1,1912-09-03
30,"Jones, Master. Albert",male,25.5,3,1,293738,21.98,Unknown,Unknown,0,1912-03-19
4,"Carter, Miss. Edith",female,38.2,1,0,253709,117.03,A71,S,1,1912-04-23
24,"Davis, Master. Fred",male,40.7,1,2,304693,57.64,Unknown,S,1,1912-03-17
147,"Young, Mrs. Clara",female,50.3,3,0,186790,8.61,Unknown,C,0,1912-04-16
129,"Wright, Master. Michael",male,14.1,2,0,123811,11.83,Unknown,S,1,1912-03-15
166,"Harris, Miss. Nora",female,29.8,1,1,130072,129.9,C82,S,1,1912-05-03
202,"White, Mr. Samuel",male,18.6,1,1,268384,72.08,G37,S,0,1912-03-19
218,"King, Mrs. Agnes",female,25.5,2,0,306075,17.05,Unknown,Q,0,1912-03-04
169,"Lewis, Mrs. Margaret",female,36.7,2,0,159479,15.35,Unknown,S,1,1912-03-02
46,"Thomas, Miss. Mary",female,33.0,3,1,268951,9.48,Unknown,S,1,1912-03-30
51,"Baker, Master. Arthur",male,11.3,3,0,364649,14.13,Unknown,C,0,1912-03-28
98,"Campbell, Miss. Helen",female,28.9,3,0,340947,26.64,Unknown,S,1,1912-03-17
236,"Walker, Mrs. Mary",female,12.3,3,0,244043,8.19,Unknown,S,1,1912-04-04
58,"Johnson, Mrs. Nora",female,38.4,1,0,321021,96.37,D36,S,0,1912-03-17
238,"Hall, Miss. Ellen",female,45.3,1,0,116611,54.18,A84,S,1,1912-06-03
43,"Lewis, Mr. Walter",male,21.7,2,0,203303,11.85,Unknown,C,0,1912-03-24
233,"Miller, Miss. Kate",female,29.7,3,0,386547,9.22,Unknown,S,1,1912-01-04
80,"Harris, Miss. Julia",female,30.7,3,0,268989,9.4,Unknown,S,0,1912-08-04
186,"Johnson, Miss. Emily",female,25.5,3,0,346723,9.51,Unknown,C,0,1912-03-19
290,"Green, Mrs. Clara",female,13.6,1,0,302315,49.64,B64,C,1,1912-03-08
221,"Davis, Mrs. Mary",female,25.5,3,0,125520,13.61,Unknown,S,0,1912-03-16
113,"Williams, Mrs. Alice",female,16.9,2,0,222158,11.54,Unknown,S,0,1912-03-22
12,"Wright, Mrs. Mary",female,25.5,3,0,278349,7.35,Unknown,C,0,1912-08-03
235,"Scott, Mr. Joseph",male,20.8,2,0,131693,26.61,Unknown,S,0,1912-09-04
86,"Smith, Mrs. Kate",female,21.2,2,0,183035,16.67,Unknown,S,1,1912-03-20
247,"Harris, Miss. Mary",female,29.7,1,0,335323,79.58,Unknown,S,1,1912-04-05
135,"Lewis, Mrs. Margaret",female,15.4,3,2,177432,9.8,Unknown,S,0,1912-03-16
144,"Mitchell, Master. Frank",male,24.2,2,0,375981,45.96,Unknown,Q,0,1912-06-03
183,"Wilson, Miss. Elizabeth",female,15.6,3,0,150757,19.94,Unknown,S,1,1912-04-03
279,"Harris, Master. Thomas",male,23.5,2,0,148833,33.31,Unknown,S,1,1912-04-16
5,"Wright, Mrs. Margaret",female,25.5,3,0,222049,8.86,Unknown,S,0,1912-04-25
134,"Hall, Miss. Helen",female,7.1,3,0,278002,34.25,Unknown,C,1,1912-03-15
45,"Wright, Miss. Emily",female,37.7,3,0,398375,8.26,Unknown,Q,1,1912-03-20
251,"Harris, Mr. Fred",male,20.0,3,0,274177,8.15,Unknown,Q,0,1912-04-23
204,"Carter, Master. John",male,23.4,3,2,251764,29.18,Unknown,Q,1,1912-04-26
146,"Thomas, Mr. William",male,35.5,3,0,376054,12.21,Unknown,C,1,1912-03-03
72,"Anderson, Mrs. Mary",female,34.8,1,0,357361,145.47,F97,S,1,1912-03-07
119,"Harris, Miss. Clara",female,21.4,2,0,159985,24.5,Unknown,C,0,1912-04-24
217,"Baker, Mrs. Ada",female,33.5,1,0,335162,159.02,C49,C,1,1912-04-25
75,"Baker, Mrs. Clara",female,18.6,3,0,324830,7.71,Unknown,S,0,1912-03-20
249,"Hall, Mr. Samuel",male,25.5,3,0,240990,9.8,Unknown,S,1,1912-03-20
95,"Wilson, Mrs. Anna",female,30.1,3,2,147384,9.92,Unknown,Q,0,1912-03-28
300,"Campbell, Miss. Helen",female,25.5,1,0,127615,53.88,E87,S,0,1912-03-12
19,"Scott, Mr. James",male,25.5,3,0,273239,7.0,Unknown,Q,1,1912-05-03
284,"Smith, Mr. Robert",male,28.2,2,0,372338,10.44,Unknown,S,1,1912-04-13
141,"Lewis, Master. Arthur",male,37.3,1,0,314312,52.63,Unknown,Unknown,0,1912-04-19
90,"Mitchell, Miss. Catherine",female,11.1,3,3,177906,12.84,Unknown,S,0,1912-03-29
159,"King, Mr. Fred",male,24.1,2,0,287220,25.27,Unknown,C,1,1912-04-20
287,"Moore, Master. David",male,27.1,3,0,315854,9.8,Unknown,S,0,1912-09-04
142,"Williams, Miss. Anna",female,19.2,3,0,232118,6.58,Unknown,S,1,1912-04-16
244,"Baker, Master. Andrew",male,26.7,2,0,336218,19.05,Unknown,C,0,1912-01-04
14,"Jones, Mr. Henry",male,9.3,3,0,378058,11.64,Unknown,Unknown,0,1912-04-28
78,"White, Mr. Harry",male,25.8,3,0,239267,7.48,Unknown,S,0,1912-04-22
180,"King, Master. Harry",male,35.0,1,0,386039,49.77,Unknown,S,1,1912-03-19
178,"King, Mrs. Sarah",female,12.7,3,0,379696,9.8,Unknown,S,0,1912-03-06
201,"King, Mr. Albert",male,16.9,2,0,347675,12.2,Unknown,S,1,1912-03-07
34,"Taylor, Mrs. Anna",female,27.9,3,0,331649,21.0,Unknown,S,0,1912-05-04
63,"Carter, Mrs. Clara",female,25.5,3,1,324593,14.6,Unknown,S,0,1912-12-04
123,"Thomas, Mrs. Ada",female,25.5,3,0,211536,26.05,Unknown,S,0,1912-10-03
55,"Turner, Mrs. Bertha",female,26.7,2,0,284422,17.98,Unknown,S,1,1912-03-20
240,"Wilson, Mrs. Elizabeth",female,42.0,3,1,349299,7.58,Unknown,C,0,1912-03-18
17,"Anderson, Mr. Fred",male,25.5,1,0,205461,72.08,G94,Q,1,1912-04-15
41,"Wright, Miss. Julia",female,1.0,2,0,160472,13.69,Unknown,Q,1,1912-04-26
257,"Carter, Mrs. Ada",female,24.2,3,0,144555,8.03,Unknown,Unknown,1,1912-03-07
